,id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERID,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,ISRETWEET,datetime,Cluster,parsed_tweets,stemmed_tokens,is_new_years_tweet,is_eastender_tweet,is_football_tweet
0,550226818624942080,,-0.26215,51.391407,-0.26214998960494995,51.39140701293945,31/12/2014 09:47:50,113918054,12Elbestreet,@julieo25 Not yet got tics for Liverpool waiting till Friday season tic holds will get first refusal  on other areas xxx,Kingston upon Thames,,0,2014-12-31 09:47:50,1,Not yet got tics for Liverpool waiting till Friday season tic holds will get first refusal on other areas xxx,"['not', 'yet', 'got', 'tic', 'for', 'liverpool', 'wait', 'till', 'friday', 'season', 'tic', 'hold', 'will', 'get', 'first', 'refus', 'on', 'other', 'area', 'xxx']",False,False,True
61,550211786700750849,,-0.272859,51.39866,-0.27285900712013245,51.398658752441406,31/12/2014 08:48:07,1348662787,Deccers_8,@SkySportsNewsHQ #ssnhqSchurrle The Build Up; The Pass; The Goal. Best For Me,Kingston upon Thames,ssnhqSchurrle,0,2014-12-31 08:48:07,1,The Build Up The Pass The Goal Best For Me,"['the', 'build', 'Up', 'the', 'pass', 'the', 'goal', 'best', 'for', 'Me']",False,False,True
128,550252286908596224,,-0.295655,51.38408,-0.2956550121307373,51.38407897949219,31/12/2014 11:29:03,121374134,aewparsons,Hope ECB is watching. Only play T20 blast matches when temperature is over 80 degrees #lessonslearned,Kingston upon Thames,lessonslearned,0,2014-12-31 11:29:03,1,Hope ECB is watching Only play T blast matches when temperature is over degrees,"['hope', 'ecb', 'is', 'watch', 'onli', 'play', 'T', 'blast', 'match', 'when', 'temperatur', 'is', 'over', 'degre']",False,False,True
147,550245732125777920,,-0.257089,51.40669000000001,-0.2570889890193939,51.40668869018555,31/12/2014 11:03:00,1530791,niallomalley,@thameswater @Ofwat Hi Tom; any sign of an update from the attending team? Thanks.,Kingston upon Thames,,0,2014-12-31 11:03:00,1,Hi Tom any sign of an update from the attending team Thanks,"['Hi', 'tom', 'ani', 'sign', 'of', 'an', 'updat', 'from', 'the', 'attend', 'team', 'thank']",False,False,True
257,550317344313344000,,-0.305016,51.36993,-0.3050160109996796,51.36993026733398,31/12/2014 15:47:33,335423694,_rachelanstee,Decided in advance that on valentines day I'm going to have a Harry Potter marathon     ,Kingston upon Thames,,0,2014-12-31 15:47:33,1,Decided in advance that on valentines day I m going to have a Harry Potter marathon,"['decid', 'in', 'advanc', 'that', 'on', 'valentin', 'day', 'I', 'm', 'go', 'to', 'have', 'a', 'harri', 'potter', 'marathon']",False,False,True
259,550312996216799232,,-0.279873,51.41101,-0.2798730134963989,51.4110107421875,31/12/2014 15:30:17,91831009,xracheljanina_,So half the squad were probably still hungover for the York game. That's how they repay the fans & the club that pays their wages?!,Kingston upon Thames,,0,2014-12-31 15:30:17,1,So half the squad were probably still hungover for the York game That s how they repay the fans the club that pays their wages,"['So', 'half', 'the', 'squad', 'were', 'probabl', 'still', 'hungov', 'for', 'the', 'york', 'game', 'that', 's', 'how', 'they', 'repay', 'the', 'fan', 'the', 'club', 'that', 'pay', 'their', 'wage']",False,False,True
291,550313162369945602,,-0.279869,51.410942,-0.2798689901828766,51.41094207763672,31/12/2014 15:30:56,91831009,xracheljanina_,They had xmas day off; the 27th was for preparation for the game & they turn in half pissed. Bunch of fucking wasters.,Kingston upon Thames,,0,2014-12-31 15:30:56,1,They had xmas day off the th was for preparation for the game they turn in half pissed Bunch of fucking wasters,"['they', 'had', 'xma', 'day', 'off', 'the', 'th', 'wa', 'for', 'prepar', 'for', 'the', 'game', 'they', 'turn', 'in', 'half', 'piss', 'bunch', 'of', 'fuck', 'waster']",False,False,True
367,550332507741511680,,-0.27229899999999996,51.365829999999995,-0.2722989916801453,51.36582946777344,31/12/2014 16:47:49,37974717,MaybeBeth,In The Amazing Spider-Man 3; unless Mary Jane is played by ginger Emma Stone; I'm going to hate her,Kingston upon Thames,,0,2014-12-31 16:47:49,1,In The Amazing Spider Man unless Mary Jane is played by ginger Emma Stone I m going to hate her,"['In', 'the', 'amaz', 'spider', 'man', 'unless', 'mari', 'jane', 'is', 'play', 'by', 'ginger', 'emma', 'stone', 'I', 'm', 'go', 'to', 'hate', 'her']",False,True,True
375,550343373350264833,,-0.282221,51.378944,-0.2822209894657135,51.378944396972656,31/12/2014 17:30:59,616480203,Alecia_Hanna,Catch us playing 3-4 at Lightbox tonight..... This set is gonna be crazy!!!! ROLL ON TWENTY FIFTEEN   ,Kingston upon Thames,,0,2014-12-31 17:30:59,1,Catch us playing at Lightbox tonight This set is gonna be crazy ROLL ON TWENTY FIFTEEN,"['catch', 'us', 'play', 'at', 'lightbox', 'tonight', 'thi', 'set', 'is', 'gon', 'na', 'be', 'crazi', 'roll', 'ON', 'twenti', 'fifteen']",False,False,True
438,550432095034953728,,-0.253747,51.40742,-0.25374698638916016,51.40742111206055,31/12/2014 23:23:32,409483589,Tarliya008,This year I managed to meet my sunshines all 9 of them and my two world collided at NIALL'S harry match and I went to Disney #GreatYear,Kingston upon Thames,GreatYear,0,2014-12-31 23:23:32,1,This year I managed to meet my sunshines all of them and my two world collided at NIALL S harry match and I went to Disney,"['thi', 'year', 'I', 'manag', 'to', 'meet', 'my', 'sunshin', 'all', 'of', 'them', 'and', 'my', 'two', 'world', 'collid', 'at', 'niall', 'S', 'harri', 'match', 'and', 'I', 'went', 'to', 'disney']",True,False,True
