area_name,inner_outer_london,prop_aged_0_15,prop_working_age,prop_aged_over_65,prop_residents_born_abroad,unemployment_rate,gross_annual_pay,crime_rate_per_thousand,median_house_price,home_owned_outright,home_being_bought_with_mortgage,turnout_local_elections
Barking and Dagenham,Outer London,27.2,63.1,9.7,37.8,11,27886,83.4,243500,16.4,27.4,36.5
Barnet,Outer London,21.1,64.9,14,35.2,8.5,33443,62.7,445000,32.4,25.2,40.5
Bexley,Outer London,20.6,62.9,16.6,16.1,7.6,34350,51.8,275000,38.1,35.3,39.6
Brent,Outer London,20.9,67.8,11.3,53.9,7.5,29812,78.8,407250,22.2,22.6,36.3
Bromley,Outer London,19.9,62.6,17.5,18.3,5.3,37682,64.1,374975,37.8,34.9,40.8
Camden,Inner London,17.3,71,11.7,41.4,4,39796,123.5,700000,18.5,15.1,38.7
Croydon,Outer London,22,64.9,13,29.4,4.1,32696,77.0,300000,30.8,33.6,38.6
Ealing,Outer London,21.4,66.8,11.8,47.4,5.8,31331,75.5,430000,20.1,30.2,41.2
Enfield,Outer London,22.8,64.4,12.8,35.0,3.8,31603,69.4,320000,25.6,36.2,38.2
Greenwich,Outer London,21.9,67.7,10.4,35.4,8.1,32415,79.4,340000,19.2,26.9,37.3
Hackney,Inner London,20.7,72.1,7.2,35.8,5.9,32056,99.6,485000,11.1,19.8,39.4
Hammersmith and Fulham,Inner London,17.4,72.3,10.3,43.2,4.7,38041,113.2,730000,19.1,21.8,37.6
Haringey,Inner London,20,70.7,9.3,39.6,5.7,31063,90.2,432500,18.0,24.7,38.1
Harrow,Outer London,20.5,64.5,15,49.6,4.6,33202,50.4,396150,33.5,32.8,40.7
Havering,Outer London,19.3,62.3,18.4,10.9,5.3,33398,62.9,287500,35.2,33.9,43.1
Hillingdon,Outer London,21.3,65.6,13.1,32.4,5.8,33508,76.6,350000,22.2,33.0,36.1
Hounslow,Outer London,21.1,67.6,11.3,46.3,4.3,31001,79.2,355000,25.5,27.0,36.8
Islington,Inner London,15.9,75.3,8.8,36.6,4.5,36592,121.2,583000,15.4,23.5,38.4
Kensington and Chelsea,Inner London,16.4,69.3,14.3,51.9,4.2,.,120.9,1200000,22.6,15.1,29.8
Kingston upon Thames,Outer London,19.6,67.2,13.2,29.8,4.5,37979,58.5,410000,27.7,38.9,43.1
Lambeth,Inner London,17.6,74.6,7.8,32.2,5.9,33441,104.6,450000,10.9,24.9,34.5
Lewisham,Inner London,20.6,70.1,9.3,34.9,5.7,33157,77.0,352000,16.5,31.7,37.2
Merton,Outer London,20.6,67.2,12.2,37.4,4.6,33989,59.7,415000,21.7,32.7,41.3
Newham,Inner London,22.7,70.2,7,54.1,9.1,27942,90.8,305000,9.4,16.7,40.5
Redbridge,Outer London,22.8,65,12.2,40.2,7.9,33483,69.7,345000,29.5,34.9,39.7
Richmond upon Thames,Outer London,20.7,64.5,14.8,23.7,3.8,42076,56.3,575000,30.9,38.4,46.1
Southwark,Inner London,18.6,73.5,7.9,38.4,7.7,33864,100.6,475000,10.1,26.3,36.2
Sutton,Outer London,20.7,64.3,15.1,23.1,5.5,32697,55.9,320000,25.7,41.8,42.6
Tower Hamlets,Inner London,20.1,73.9,6,38.6,9.2,36429,99.9,415000,7.0,19.8,47.2
Waltham Forest,Outer London,21.8,67.9,10.3,37.2,5.4,30859,78.0,366569,20.6,29.2,37.6
Wandsworth,Inner London,17.8,72.8,9.3,32.8,5.7,41064,72.6,557000,17.7,30.5,36.9
Westminster,Inner London,15.9,72.3,11.7,49.8,8.8,42141,212.4,920000,17.1,11.6,32.3
