Space,Row,One,datetime_to_nearest_hour,id,norm_count,Ref
1,2,1,2015-01-01 12:00:00,10,1.0,11
1,2,1,2015-01-01 20:00:00,10,1.0,11
1,3,1,2015-01-01 19:00:00,40,1.0,21
1,4,1,2015-01-01 21:00:00,32,1.0,31
1,5,1,2015-01-01 21:00:00,52,1.0,41
1,6,1,2015-01-01 19:00:00,95,1.0,51
1,7,1,2014-12-31 18:00:00,42,1.0,61
1,8,1,2015-01-01 14:00:00,15,1.0,71
1,9,1,2015-01-01 00:00:00,37,1.0,81
1,10,1,2015-01-01 12:00:00,6,1.0,91
2,2,1,2015-01-01 18:00:00,80,1.0,12
2,3,1,2015-01-01 18:00:00,95,1.0,22
2,4,1,2015-01-01 16:00:00,127,1.0,32
2,5,1,2015-01-01 14:00:00,59,1.0,42
2,6,1,2015-01-01 00:00:00,50,1.0,52
2,7,1,2015-01-01 19:00:00,79,1.0,62
2,8,1,2015-01-01 22:00:00,44,1.0,72
2,9,1,2015-01-01 22:00:00,20,1.0,82
2,10,1,2015-01-01 21:00:00,17,1.0,92
3,2,1,2015-01-01 22:00:00,39,1.0,13
3,3,1,2015-01-01 21:00:00,51,1.0,23
3,4,1,2015-01-01 18:00:00,108,1.0,33
3,5,1,2014-12-31 18:00:00,131,1.0,43
3,6,1,2015-01-01 00:00:00,143,1.0,53
3,7,1,2015-01-01 18:00:00,79,1.0,63
3,8,1,2015-01-01 18:00:00,74,1.0,73
3,9,1,2015-01-01 19:00:00,50,1.0,83
3,10,1,2014-12-31 21:00:00,14,1.0,93
4,2,1,2014-12-31 10:00:00,68,1.0,14
4,3,1,2015-01-01 19:00:00,102,1.0,24
4,3,1,2015-01-01 21:00:00,102,1.0,24
4,4,1,2015-01-01 21:00:00,67,1.0,34
4,5,1,2015-01-01 00:00:00,274,1.0,44
4,6,1,2015-01-01 00:00:00,325,1.0,54
4,7,1,2015-01-01 21:00:00,232,1.0,64
4,8,1,2015-01-01 21:00:00,102,1.0,74
4,9,1,2015-01-01 19:00:00,60,1.0,84
4,10,1,2015-01-01 00:00:00,34,1.0,94
5,2,1,2015-01-01 21:00:00,68,1.0,15
5,3,1,2015-01-01 19:00:00,198,1.0,25
5,4,1,2015-01-01 19:00:00,329,1.0,35
5,5,1,2015-01-01 00:00:00,428,1.0,45
5,6,1,2015-01-01 00:00:00,731,1.0,55
5,7,1,2015-01-01 22:00:00,295,1.0,65
5,8,1,2015-01-01 21:00:00,171,1.0,75
5,9,1,2015-01-01 00:00:00,68,1.0,85
5,10,1,2015-01-01 20:00:00,50,1.0,95
6,2,1,2015-01-01 19:00:00,57,1.0,16
6,3,1,2015-01-01 22:00:00,92,1.0,26
6,4,1,2015-01-01 00:00:00,197,1.0,36
6,5,1,2015-01-01 16:00:00,258,1.0,46
6,6,1,2015-01-01 00:00:00,168,1.0,56
6,7,1,2015-01-01 21:00:00,96,1.0,66
6,8,1,2014-12-31 21:00:00,87,1.0,76
6,9,1,2015-01-01 22:00:00,52,1.0,86
6,10,1,2015-01-01 23:00:00,12,1.0,96
7,2,1,2015-01-01 19:00:00,25,1.0,17
7,3,1,2015-01-01 18:00:00,68,1.0,27
7,4,1,2015-01-01 19:00:00,73,1.0,37
7,5,1,2015-01-01 00:00:00,112,1.0,47
7,6,1,2015-01-01 18:00:00,108,1.0,57
7,7,1,2015-01-01 18:00:00,116,1.0,67
7,8,1,2015-01-01 22:00:00,67,1.0,77
7,9,1,2015-02-01 00:00:00,34,1.0,87
7,10,1,2015-01-01 12:00:00,3,1.0,97
8,2,1,2015-01-01 22:00:00,4,1.0,18
8,3,1,2015-01-01 01:00:00,39,1.0,28
8,3,1,2015-01-01 18:00:00,39,1.0,28
8,4,1,2015-01-01 18:00:00,65,1.0,38
8,4,1,2015-01-01 22:00:00,65,1.0,38
8,5,1,2015-01-01 21:00:00,69,1.0,48
8,6,1,2015-01-01 21:00:00,41,1.0,58
8,7,1,2015-01-01 18:00:00,65,1.0,68
8,8,1,2014-12-31 17:00:00,16,1.0,78
8,9,1,2014-12-31 15:00:00,2,1.0,88
8,9,1,2015-01-01 14:00:00,2,1.0,88
8,9,1,2015-01-01 18:00:00,2,1.0,88
8,9,1,2015-01-01 22:00:00,2,1.0,88
8,10,1,2014-12-31 17:00:00,17,1.0,98
9,2,1,2015-01-01 00:00:00,7,1.0,19
9,2,1,2015-01-01 21:00:00,7,1.0,19
9,3,1,2015-01-01 19:00:00,47,1.0,29
9,4,1,2015-01-01 03:00:00,36,1.0,39
9,5,1,2015-01-01 14:00:00,20,1.0,49
9,6,1,2015-01-01 18:00:00,115,1.0,59
9,7,1,2015-01-01 19:00:00,38,1.0,69
9,8,1,2015-01-01 15:00:00,13,1.0,79
9,9,1,2015-01-01 21:00:00,16,1.0,89
9,10,1,2015-01-01 00:00:00,5,1.0,99
