Row,Space,One,count
2,1,1,172
2,2,1,1148
2,3,1,417
2,4,1,780
2,5,1,977
2,6,1,736
2,7,1,374
2,8,1,15
2,9,1,78
3,1,1,394
3,2,1,972
3,3,1,784
3,4,1,1759
3,5,1,2606
3,6,1,1401
3,7,1,642
3,8,1,416
3,9,1,755
4,1,1,298
4,2,1,1849
4,3,1,1863
4,4,1,1409
4,5,1,5166
4,6,1,2315
4,7,1,1271
4,8,1,1548
4,9,1,408
5,1,1,872
5,2,1,1019
5,3,1,1803
5,4,1,6722
5,5,1,9589
5,6,1,4502
5,7,1,2100
5,8,1,1004
5,9,1,201
6,1,1,1776
6,2,1,879
6,3,1,2109
6,4,1,7196
6,5,1,11240
6,6,1,2964
6,7,1,1987
6,8,1,512
6,9,1,1764
7,1,1,771
7,2,1,1384
7,3,1,1263
7,4,1,3098
7,5,1,3425
7,6,1,1550
7,7,1,1918
7,8,1,886
7,9,1,527
8,1,1,197
8,2,1,716
8,3,1,1468
8,4,1,1613
8,5,1,2916
8,6,1,1536
8,7,1,827
8,8,1,167
8,9,1,100
9,1,1,565
9,2,1,268
9,3,1,709
9,4,1,1078
9,5,1,929
9,6,1,714
9,7,1,497
9,8,1,18
9,9,1,64
10,1,1,61
10,2,1,223
10,3,1,216
10,4,1,404
10,5,1,597
10,6,1,138
10,7,1,8
10,8,1,165
10,9,1,40
